NDB_No,Shrt_Desc,Main food description,Food code,FoodCategory
03047,"BABYFOOD,DINNER,BF NOODLE,STR","Beef and egg noodles, baby food, strained",27610110,"Meat, Poultry, Fish, and Mixtures"
03048,"BABYFOOD,MACARONI&CHS,TODD","Macaroni and cheese, baby food, toddler",58508300,Grain Products
03050,"BABYFOOD,DINNER,SPAGHETTI&TOMATO&MEAT,JR","Spaghetti, tomato sauce, and beef, baby food, junior",58509020,Grain Products
03052,"BABYFOOD,DINNER,BF STEW,TODD","Beef stew, baby food, toddler",27601000,"Meat, Poultry, Fish, and Mixtures"
03053,"BABYFOOD,DINNER,VEG&BF,STR","Vegetable and beef, baby food, strained",76603010,Vegetables
03054,"BABYFOOD,DINNER,VEG&BF,JR","Vegetable and beef, baby food, junior",76603020,Vegetables
03055,"BABYFOOD,DINNER,BF W/VEG","Beef with vegetables, baby food, strained",27610710,"Meat, Poultry, Fish, and Mixtures"
03068,"BABYFOOD,DINNER,CHICK NOODLE,STR","Chicken noodle dinner, baby food, strained",27640110,"Meat, Poultry, Fish, and Mixtures"
03069,"BABYFOOD,DINNER,CHICK NOODLE,JR","Chicken noodle dinner, baby food, junior",27640120,"Meat, Poultry, Fish, and Mixtures"
03070,"BABYFOOD,DINNER,CHICK SOUP,STR","Chicken soup, baby food",27644110,"Meat, Poultry, Fish, and Mixtures"
03072,BABYFOOD  DINNER  CHICK STEW  TODD,"Chicken stew, baby food, toddler",27641000,"Meat, Poultry, Fish, and Mixtures"
03073,"BABYFOOD,DINNER,VEG CHICK,STR","Vegetable and chicken, baby food, strained",76605010,Vegetables
03077,"BABYFOOD,DINNER,PASTA W/VEG","Macaroni with vegetables, baby food, strained",58509200,Grain Products
03082,"BABYFOOD,DINNER,TURKEY&RICE,STR","Turkey, rice and vegetables, baby food, strained",27642110,"Meat, Poultry, Fish, and Mixtures"
03083,"BABYFOOD,DINNER,TURKEY & RICE,JR","Turkey, rice and vegetables, baby food, junior",27642120,"Meat, Poultry, Fish, and Mixtures"
03084,"BABYFOOD,DINNER,VEG&TURKEY,STR","Vegetable and turkey, baby food, strained",76611010,Vegetables
03085,"BABYFOOD,DINNER,VEG&TURKEY,JR","Vegetable and turkey, baby food, junior",76611020,Vegetables
03091,"BABYFOOD,VEG,GRN BNS,STR","Beans, green string, baby food, strained",76401010,Vegetables
03092,"BABYFOOD,VEG,GRN BNS,JR","Beans, green string, baby food, junior",76401020,Vegetables
03093,"BABYFOOD,GRN BNS,DICES,TODD","Beans, green string, baby food, toddler",76401060,Vegetables
03096,"BABYFOOD,VEG,GRN BNS&POTATOES","Green beans and potatoes, baby food, strained",76402000,Vegetables
03098,"BABYFOOD,VEG,BEETS,STR","Beets, baby food, strained",76403010,Vegetables
03099,"BABYFOOD,VEG,CARROTS,STR","Carrots, baby food, strained",76201010,Vegetables
03100,"BABYFOOD,VEG,CARROTS,JR","Carrots, baby food, junior",76201020,Vegetables
03104,"BABYFOOD,VEG,SQUASH,STR","Squash, baby food, strained",76205010,Vegetables
03105,"BABYFOOD,VEG,SQUASH,JR","Squash, baby food, junior",76205020,Vegetables
03108,"BABYFOOD,VEG,SWT POTATOES,STR","Sweet potatoes, baby food, strained",76209010,Vegetables
