str,Resource
"Spices, rosemary, dried",http://idea.rpi.edu/heals/kb/usda#02036
"Spices, saffron",http://idea.rpi.edu/heals/kb/usda#02037
"Spices, sage, ground",http://idea.rpi.edu/heals/kb/usda#02038
"Spices, savory, ground",http://idea.rpi.edu/heals/kb/usda#02039
"Spices, tarragon, dried",http://idea.rpi.edu/heals/kb/usda#02041
"Spices, thyme, dried",http://idea.rpi.edu/heals/kb/usda#02042
"Spices, turmeric, ground",http://idea.rpi.edu/heals/kb/usda#02043
"Basil, fresh",http://idea.rpi.edu/heals/kb/usda#02044
"Dill weed, fresh",http://idea.rpi.edu/heals/kb/usda#02045
"Mustard, prepared, yellow",http://idea.rpi.edu/heals/kb/usda#02046
"Salt, table",http://idea.rpi.edu/heals/kb/usda#02047
"Vinegar, cider",http://idea.rpi.edu/heals/kb/usda#02048
"Thyme, fresh",http://idea.rpi.edu/heals/kb/usda#02049
Vanilla extract,http://idea.rpi.edu/heals/kb/usda#02050
"Vanilla extract, imitation, alcohol",http://idea.rpi.edu/heals/kb/usda#02051
"Vanilla extract, imitation, no alcohol",http://idea.rpi.edu/heals/kb/usda#02052
"Vinegar, distilled",http://idea.rpi.edu/heals/kb/usda#02053
"Capers, canned",http://idea.rpi.edu/heals/kb/usda#02054
"Horseradish, prepared",http://idea.rpi.edu/heals/kb/usda#02055
"Rosemary, fresh",http://idea.rpi.edu/heals/kb/usda#02063
"Peppermint, fresh",http://idea.rpi.edu/heals/kb/usda#02064
mint,http://idea.rpi.edu/heals/kb/usda#02064
"Spearmint, fresh",http://idea.rpi.edu/heals/kb/usda#02065
mint,http://idea.rpi.edu/heals/kb/usda#02065
"Spearmint, dried",http://idea.rpi.edu/heals/kb/usda#02066
mint,http://idea.rpi.edu/heals/kb/usda#02066
"Vinegar, red wine",http://idea.rpi.edu/heals/kb/usda#02068
"Vinegar, balsamic",http://idea.rpi.edu/heals/kb/usda#02069
"Seasoning mix, dry, sazon",http://idea.rpi.edu/heals/kb/usda#02074
"Seasoning mix, dry, taco",http://idea.rpi.edu/heals/kb/usda#02075
"Seasoning mix, dry, chili",http://idea.rpi.edu/heals/kb/usda#02076
"Fat, beef tallow",http://idea.rpi.edu/heals/kb/usda#04001
Lard,http://idea.rpi.edu/heals/kb/usda#04002
"Salad dressing, KRAFT Mayo Light Mayonnaise",http://idea.rpi.edu/heals/kb/usda#04011
"Salad dressing, KRAFT Mayo Fat Free Mayonnaise Dressing",http://idea.rpi.edu/heals/kb/usda#04013
"Salad dressing, KRAFT MIRACLE WHIP FREE Nonfat Dressing",http://idea.rpi.edu/heals/kb/usda#04014
"Salad dressing, russian dressing",http://idea.rpi.edu/heals/kb/usda#04015
"Salad dressing, sesame seed dressing, regular",http://idea.rpi.edu/heals/kb/usda#04016
"Salad dressing, thousand island, commercial",http://idea.rpi.edu/heals/kb/usda#04017
"Salad dressing, mayonnaise type, regular",http://idea.rpi.edu/heals/kb/usda#04018
"Salad dressing, french dressing, reduced fat",http://idea.rpi.edu/heals/kb/usda#04020
