,food_id,food_name,food_group,food_subgroup,source_name,nutri_score,nutri_score_category,hasQuality
167,392,Jerusalem artichoke,Vegetables,Tubers,Fat,-2,A,"['high_vitaminB5', 'high_vitaminB8']"
168,394,Jute,Vegetables,Leaf vegetables,Fat,-4,A,"['high_iron', 'high_vitaminK1', 'high_vitaminB2', 'high_vitaminB5', 'high_vitaminB6', 'high_vitaminB11']"
169,399,Lambsquarters,Vegetables,Leaf vegetables,Fat,-6,A,"['high_calcium', 'high_vitaminK1', 'high_vitaminB2', 'high_vitaminB5']"
170,401,Wild leek,Vegetables,Onion-family vegetables,Fat,1,B,"['high_vitaminK1', 'high_vitaminB5', 'high_vitaminB11']"
171,407,Sacred lotus,Vegetables,Other vegetables,Fat,-4,A,['high_vitaminB5']
172,408,White lupine,Pulses,Other pulses,Fat,14,D,"['high_potassium', 'high_iron', 'high_phosphorus', 'high_vitaminB1', 'high_vitaminB5', 'high_vitaminB11']"
173,409,Malabar spinach,Vegetables,Leaf vegetables,Fat,-3,A,"['high_vitaminB5', 'high_vitaminB11']"
174,410,Mammee apple,Fruits,Tropical fruits,Fat,-1,A,['high_vitaminB5']
175,411,Purple mangosteen,Fruits,Tropical fruits,Fat,2,B,['high_vitaminB5']
176,416,Moth bean,Pulses,Beans,Fat,-5,A,"['high_potassium', 'high_iron', 'high_phosphorus', 'high_vitaminB1', 'high_vitaminB5', 'high_vitaminB11']"
177,417,Mountain yam,Vegetables,Tubers,Fat,0,B,['high_vitaminB5']
178,420,White mustard,Herbs and Spices,Spices,Fat,9,C,"['high_potassium', 'high_calcium', 'high_iron', 'high_phosphorus', 'high_vitaminEAlpha', 'high_vitaminEGamma', 'high_vitaminB1', 'high_vitaminB5', 'high_vitaminB11']"
179,422,New Zealand spinach,Vegetables,Leaf vegetables,Fat,0,B,"['high_vitaminK1', 'high_vitaminB5']"
180,436,Pepper (C. frutescens),Vegetables,Fruit vegetables,Fat,-5,A,"['high_potassium', 'high_iron', 'high_phosphorus', 'high_vitaminB2', 'high_vitaminB3', 'high_vitaminB5', 'high_vitaminB6', 'high_vitaminB11']"
181,437,Common persimmon,Fruits,Tropical fruits,Fat,0,B,[]
